Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),station,uni,"Gasage (TALDICE-1a, yr BP)","Gasage (EDML1 Sz4, yr BP)",Reference,"Age (Ahn et al., 2008)",source file
536.25,18239.12,19404.10,188.26,1.13,EDC (9-22 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
539.00,18502.20,19576.63,189.01,0.88,EDC (9-22 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
542.85,18823.88,19825.00,189.39,1.11,EDC (9-22 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
548.35,19300.40,20120.83,188.37,0.59,EDC (9-22 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
552.75,19703.40,20420.60,188.96,0.56,EDC (9-22 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
555.50,19949.85,20757.93,189.12,0.27,EDC (9-22 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
557.70,20149.39,21038.90,189.74,NAN,EDC (9-22 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
578.05,22008.84,22229.60,185.16,0.77,EDC (9-22 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1669.25,125222.70,124858.67,277.64,0.12,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1674.75,125633.40,125326.00,275.61,0.83,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1674.75,125633.40,125326.00,278.50,2.25,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1677.50,125858.80,125561.33,271.68,1.26,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1680.25,126058.20,125807.67,272.59,1.19,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1685.75,126484.00,126306.33,273.47,2.37,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1691.25,126855.60,126739.00,267.19,2.59,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1696.75,127225.20,127078.00,271.56,1.23,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1702.25,127594.60,127503.33,274.81,1.55,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1705.00,127772.50,127660.00,277.27,3.61,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1707.75,127933.70,127829.00,287.48,5.72,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1713.25,128268.00,128172.67,290.23,-6.84,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1718.75,128584.60,128507.33,290.49,1.43,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1724.25,128919.70,128878.00,269.37,1.34,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1729.75,129272.90,129254.33,264.77,3.28,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1732.50,129446.00,129437.00,262.02,1.70,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1735.25,129627.50,129659.33,263.41,1.02,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1740.75,130008.30,130033.00,261.69,3.30,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1744.05,130236.10,130249.00,256.15,1.83,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1749.55,130678.00,130678.00,250.59,2.83,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1755.05,131153.00,131152.33,243.17,1.63,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1760.00,131621.20,131695.00,237.90,1.63,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1766.05,132267.30,132425.33,231.29,0.21,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1771.55,132953.90,133071.67,225.26,1.07,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1773.75,133238.40,133358.00,221.53,1.46,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1779.25,133980.60,134074.33,210.48,2.41,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1784.75,134804.60,134970.67,205.67,0.77,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1787.50,135294.90,135387.00,204.27,1.82,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1790.25,135791.40,135904.00,199.63,2.36,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1790.25,135791.40,135904.00,199.03,0.83,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1795.75,136802.50,137069.00,193.45,1.14,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1801.25,137817.30,138119.33,196.78,1.99,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1806.75,138872.20,139274.00,191.09,2.09,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1812.25,139966.30,140527.33,186.38,1.66,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1815.00,140513.80,141093.00,184.07,4.12,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1821.05,141740.20,142449.00,193.07,1.83,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1867.25,150635.70,152007.00,200.60,1.08,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1870.00,151179.20,152578.33,202.96,2.17,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
1872.75,151703.40,153135.00,197.17,1.38,EDC (125- 153 kyr BP),LGGE Grenoble,,,,,grl52461-sup-0003-supplementary.csv
